,model_name,capability,test_name,test_n,pred,true,sent,predicate,arg_pos,pred_pos
0,bert_a3_10ep,PatientRight,PatientRight,0,B-ARG1,B-ARG1,There was a book,was,3,1
1,bert_a3_10ep,PatientRight,PatientRight,1,B-ARG1,B-ARG0,There lived a person,lived,3,1
2,bert_a3_10ep,PatientRight,PatientRight,2,B-ARG1,B-ARG1,There lied a book,lied,3,1
3,bert_a3_10ep,PatientRight,PatientRight,3,B-ARG1,B-ARG1,There existed a chair,existed,3,1
4,bert_a3_10ep,PatientRight,PatientRight,4,B-ARG1,B-ARG1,There lied a phone,lied,3,1
5,bert_a3_10ep,PatientRight,PatientRight,5,B-ARG1,B-ARG1,There died a person,died,3,1
6,bert_a3_10ep,PatientRight,PatientRight,6,B-ARG1,B-ARG1,There exists a building,exists,3,1
7,bert_a3_10ep,PatientRight,PatientRight,7,B-ARG1,B-ARG1,There was a phone,was,3,1
8,bert_a3_10ep,PatientRight,PatientRight,8,B-ARG1,B-ARG1,There lays a screen,lays,3,1
9,bert_a3_10ep,PatientRight,PatientRight,9,B-ARG1,B-ARG1,There remains a person,remains,3,1
10,bert_a3_10ep,PatientRight,PatientRight,10,B-ARG1,B-ARG1,There lays a book,lays,3,1
11,bert_a3_10ep,PatientRight,PatientRight,11,B-ARG1,B-ARG1,There hangs a TV,hangs,3,1
12,bert_a3_10ep,PatientRight,PatientRight,12,B-ARG1,B-ARG1,Here exists a book,exists,3,1
13,bert_a3_10ep,PatientRight,PatientRight,13,B-ARG1,B-ARG1,Here runs a computer,runs,3,1
14,bert_a3_10ep,PatientRight,PatientRight,14,B-ARG1,B-ARG1,Here exists a phone,exists,3,1
15,bert_a3_10ep,PatientRight,PatientRight,15,B-ARG1,B-ARG1,Here swings a chair,swings,3,1
16,bert_a3_10ep,PatientRight,PatientRight,16,B-ARG1,B-ARG1,Here spawns a car,spawns,3,1
17,bert_a3_10ep,PatientRight,PatientRight,17,B-ARG1,B-ARG1,Here exists a building,exists,3,1
